epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4743,1.55314,3.9534,1.43233,0.82774,0.17949,0.27078,0.1715,1.55607,3.36342,1.33346,0.000362927,0.000362927,0.000362927
2,18.7959,1.29671,2.56085,1.23478,0.79798,0.2964,0.39036,0.25219,1.68078,2.77672,1.47292,0.000717128,0.000717128,0.000717128
3,25.7522,1.28975,2.31486,1.24041,0.50356,0.46601,0.42302,0.28795,1.88746,2.70089,1.68642,0.00105504,0.00105504,0.00105504
4,32.732,1.26107,2.03404,1.22023,0.4085,0.50753,0.43097,0.27987,1.51055,2.37952,1.42598,0.00103767,0.00103767,0.00103767
5,40.0361,1.23102,1.83256,1.19432,0.54072,0.51118,0.44233,0.30694,1.54027,2.28163,1.43271,0.00101323,0.00101323,0.00101323
6,46.6391,1.22879,1.75158,1.19145,0.58656,0.55801,0.51661,0.36509,1.37925,1.93341,1.31338,0.00098879,0.00098879,0.00098879
7,53.1335,1.16641,1.73747,1.15729,0.4915,0.53938,0.49322,0.3439,1.47947,2.1037,1.43365,0.000964348,0.000964348,0.000964348
8,59.8019,1.17984,1.59867,1.20998,0.50638,0.55456,0.45404,0.3066,1.52545,1.96571,1.41904,0.000939906,0.000939906,0.000939906
9,66.3055,1.14975,1.55911,1.17822,0.58449,0.51908,0.49825,0.34921,1.49113,1.8726,1.39872,0.000915464,0.000915464,0.000915464
10,72.8124,1.13698,1.58358,1.17267,0.53764,0.54111,0.51373,0.36725,1.40727,1.7556,1.37504,0.000891022,0.000891022,0.000891022
11,79.3428,1.08632,1.3588,1.1375,0.61525,0.56219,0.53049,0.38807,1.35928,1.63782,1.36164,0.00086658,0.00086658,0.00086658
12,85.8742,1.07069,1.27244,1.10216,0.63577,0.5479,0.53263,0.39584,1.35811,1.78416,1.32069,0.000842138,0.000842138,0.000842138
13,92.5339,1.1001,1.27504,1.15613,0.66976,0.56509,0.57212,0.40891,1.36648,1.74115,1.3116,0.000817696,0.000817696,0.000817696
14,99.1196,1.0483,1.19667,1.11822,0.66175,0.55915,0.5392,0.37672,1.38076,1.75086,1.29259,0.000793254,0.000793254,0.000793254
15,108.046,1.06341,1.19723,1.12691,0.69546,0.56504,0.59115,0.41044,1.36766,1.63116,1.28163,0.000768812,0.000768812,0.000768812
16,119.275,1.00485,1.08789,1.10474,0.76357,0.56096,0.60536,0.43888,1.41331,1.66483,1.38205,0.00074437,0.00074437,0.00074437
17,128.274,1.00241,1.05975,1.08392,0.71391,0.56394,0.58803,0.42529,1.3689,1.62842,1.32613,0.000719928,0.000719928,0.000719928
18,135.641,0.99875,1.13189,1.09246,0.639,0.61339,0.59882,0.42616,1.2838,1.59862,1.27646,0.000695486,0.000695486,0.000695486
19,142.217,0.98457,1.02467,1.0724,0.67995,0.59001,0.59091,0.42071,1.38983,1.51445,1.30666,0.000671044,0.000671044,0.000671044
20,148.831,0.97029,0.98537,1.09302,0.66787,0.62436,0.56098,0.40219,1.31605,1.53606,1.29968,0.000646602,0.000646602,0.000646602
21,155.456,0.95005,1.08401,1.08568,0.68862,0.5765,0.58427,0.44075,1.28283,1.60813,1.25471,0.00062216,0.00062216,0.00062216
22,162.125,0.89185,0.89891,1.03574,0.69909,0.56079,0.55862,0.40854,1.36333,1.68385,1.29701,0.000597718,0.000597718,0.000597718
23,168.742,0.93282,0.99072,1.07141,0.69806,0.55861,0.55976,0.40676,1.29502,1.63625,1.27265,0.000573276,0.000573276,0.000573276
24,175.393,0.89747,0.89409,1.03618,0.64794,0.55147,0.59936,0.43275,1.34641,1.60997,1.34647,0.000548834,0.000548834,0.000548834
25,181.955,0.9077,0.90281,1.05287,0.69242,0.58341,0.60319,0.44625,1.25876,1.58432,1.26797,0.000524392,0.000524392,0.000524392
26,188.725,0.86002,0.88401,1.04134,0.69729,0.57811,0.58313,0.4103,1.3517,1.58033,1.3057,0.00049995,0.00049995,0.00049995
27,195.324,0.84734,0.84445,1.0293,0.71435,0.56414,0.58143,0.41447,1.29811,1.63444,1.2659,0.000475508,0.000475508,0.000475508
28,202.031,0.87959,0.84,1.02802,0.6796,0.62103,0.59272,0.43036,1.28919,1.50704,1.27173,0.000451066,0.000451066,0.000451066
29,208.675,0.88762,0.8168,1.03962,0.76093,0.60134,0.61304,0.45154,1.36243,1.57564,1.34375,0.000426624,0.000426624,0.000426624
30,215.333,0.90455,0.81548,1.05552,0.64924,0.61213,0.6262,0.45157,1.34425,1.56711,1.34233,0.000402182,0.000402182,0.000402182
31,221.939,0.88692,0.83133,1.04883,0.76692,0.59925,0.64355,0.46042,1.37044,1.46471,1.33257,0.00037774,0.00037774,0.00037774
32,228.557,0.83256,0.81345,0.99136,0.73194,0.6037,0.6286,0.45135,1.30573,1.48561,1.27546,0.000353298,0.000353298,0.000353298
33,235.152,0.79696,0.72176,0.98044,0.77816,0.59206,0.63835,0.47052,1.38452,1.53744,1.31713,0.000328856,0.000328856,0.000328856
34,241.878,0.82124,0.77204,0.99928,0.71668,0.60623,0.64054,0.47208,1.34319,1.56302,1.32641,0.000304414,0.000304414,0.000304414
35,248.432,0.76989,0.7394,0.97604,0.74571,0.60062,0.64131,0.45728,1.32734,1.57273,1.32336,0.000279972,0.000279972,0.000279972
36,277.715,0.71398,0.67243,0.94665,0.77724,0.57901,0.6273,0.45268,1.32133,1.52103,1.33174,0.00025553,0.00025553,0.00025553
37,284.512,0.70721,0.64946,0.94995,0.66385,0.60465,0.61417,0.44316,1.31471,1.54318,1.35043,0.000231088,0.000231088,0.000231088
38,291.799,0.69599,0.64363,0.93952,0.72787,0.60277,0.64254,0.46525,1.27737,1.49029,1.29318,0.000206646,0.000206646,0.000206646
39,298.648,0.64999,0.60917,0.91713,0.70445,0.62378,0.63618,0.45264,1.28956,1.46883,1.30907,0.000182204,0.000182204,0.000182204
40,305.456,0.66637,0.60903,0.93111,0.68872,0.61273,0.64626,0.47031,1.2582,1.43895,1.29317,0.000157762,0.000157762,0.000157762
41,312.169,0.65914,0.6014,0.91703,0.69449,0.58781,0.62444,0.46188,1.28126,1.48039,1.30291,0.00013332,0.00013332,0.00013332
42,318.911,0.62989,0.57889,0.9132,0.75037,0.5952,0.6266,0.46366,1.29469,1.45657,1.30058,0.000108878,0.000108878,0.000108878
43,325.593,0.61884,0.57627,0.90687,0.7435,0.59274,0.62722,0.46314,1.28252,1.48854,1.30213,8.4436e-05,8.4436e-05,8.4436e-05
44,332.331,0.61641,0.56416,0.91194,0.75546,0.5833,0.62746,0.4561,1.28399,1.50302,1.30388,5.9994e-05,5.9994e-05,5.9994e-05
45,339.059,0.62122,0.5661,0.91176,0.72338,0.59464,0.6249,0.45723,1.29379,1.48383,1.31567,3.5552e-05,3.5552e-05,3.5552e-05
