epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.6357,1.67393,4.51481,1.4977,0.00398,0.65,0.24465,0.18026,1.18994,4.27868,1.22646,0.0001875,0.0001875,0.0001875
2,71.2075,1.3113,3.68093,1.21247,0.00581,0.91667,0.29438,0.16195,0.91932,3.79007,1.00158,0.000379828,0.000379828,0.000379828
3,104.362,1.06801,2.95272,1.08966,0.94228,0.16667,0.60092,0.42654,0.97481,3.45935,1.00616,0.000564235,0.000564235,0.000564235
4,135.58,1.27547,2.93288,1.16449,0.87285,0.2,0.50274,0.36538,1.11773,3.59889,1.10234,0.000740722,0.000740722,0.000740722
5,168.522,1.22397,2.76524,1.1854,0.87166,0.19426,0.58978,0.40998,1.06268,3.37122,1.18777,0.00090929,0.00090929,0.00090929
6,201.364,1.20414,2.70677,1.13422,0.55851,0.20833,0.47852,0.33592,1.25689,3.35079,1.32787,0.00106994,0.00106994,0.00106994
7,231.355,1.28303,2.82188,1.19754,0.63282,0.57147,0.55,0.39563,1.18463,3.07296,1.34921,0.0011015,0.0011015,0.0011015
8,262.93,1.24185,2.5327,1.21317,0.54698,0.67566,0.58344,0.42596,1.1539,3.57741,1.29389,0.00107675,0.00107675,0.00107675
9,292.387,1.20502,2.36799,1.17603,0.62093,0.65,0.62642,0.43905,1.12627,2.62631,1.17108,0.001052,0.001052,0.001052
10,326.382,1.15687,2.31773,1.18832,0.43627,0.67304,0.59812,0.4156,1.24743,3.27644,1.23006,0.00102725,0.00102725,0.00102725
11,360.374,1.19562,2.34932,1.19092,0.82961,0.21667,0.49038,0.30958,1.12635,3.03598,1.26134,0.0010025,0.0010025,0.0010025
12,392.984,1.10829,2.1995,1.11855,0.51776,0.58667,0.58789,0.4268,1.12484,2.59437,1.16141,0.00097775,0.00097775,0.00097775
13,423.861,1.0842,2.1457,1.10511,0.46904,0.554,0.52639,0.41284,1.15367,2.84722,1.17961,0.000953,0.000953,0.000953
14,455.34,1.0754,2.08841,1.12206,0.53401,0.69522,0.6272,0.46185,1.00906,2.45776,1.10487,0.00092825,0.00092825,0.00092825
15,486.862,1.03695,1.90989,1.09399,0.76394,0.72187,0.7133,0.57446,0.97707,2.20236,1.11247,0.0009035,0.0009035,0.0009035
16,518.389,1.0532,1.9635,1.10204,0.68828,0.69169,0.67505,0.52608,1.07133,2.49169,1.13148,0.00087875,0.00087875,0.00087875
17,549.872,1.0916,2.06232,1.10875,0.64012,0.52298,0.64955,0.50664,1.01576,2.57518,1.12903,0.000854,0.000854,0.000854
18,581.367,0.98827,1.77306,1.05136,0.71639,0.64465,0.65543,0.5192,1.02723,2.42846,1.12005,0.00082925,0.00082925,0.00082925
19,612.953,1.01478,1.81051,1.09338,0.67763,0.59374,0.59791,0.48818,1.04897,2.48981,1.13919,0.0008045,0.0008045,0.0008045
20,644.568,1.0174,1.754,1.09006,0.47229,0.73153,0.63413,0.47229,1.04076,2.2193,1.12769,0.00077975,0.00077975,0.00077975
21,677.808,0.98516,1.70651,1.09423,0.62188,0.63536,0.61193,0.46438,1.08854,2.39297,1.14158,0.000755,0.000755,0.000755
22,711.865,1.01522,1.71946,1.09017,0.61695,0.64683,0.66845,0.49072,1.03631,2.48826,1.12031,0.00073025,0.00073025,0.00073025
23,743.438,0.93537,1.60133,1.04468,0.69053,0.56628,0.66836,0.52295,0.96931,2.40774,1.10111,0.0007055,0.0007055,0.0007055
24,775.229,1.04657,1.65815,1.10231,0.61277,0.55796,0.62753,0.49864,0.94906,2.37449,1.09246,0.00068075,0.00068075,0.00068075
25,806.884,0.97972,1.55588,1.04793,0.61649,0.62568,0.6549,0.49525,1.02714,2.54911,1.1004,0.000656,0.000656,0.000656
26,838.801,0.95621,1.62289,1.01129,0.87357,0.41739,0.58413,0.45152,1.09349,2.57564,1.13889,0.00063125,0.00063125,0.00063125
