epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.58197,1.99788,4.80966,1.73992,0.00045,0.04222,0.00038,0.00013,2.33715,4.43592,2.34518,6.666e-05,6.666e-05,6.666e-05
2,7.89463,1.80556,4.47184,1.56976,0.00077,0.08222,0.00062,0.00023,2.07745,4.24378,2.05524,0.000143,0.000143,0.000143
3,9.83367,1.32634,3.7169,1.24586,0.00147,0.17333,0.00189,0.00072,1.77547,4.11883,1.66976,0.0002178,0.0002178,0.0002178
4,11.6968,1.21939,3.07211,1.18924,0.00419,0.41152,0.0371,0.02934,1.60877,3.95843,1.5362,0.000291061,0.000291061,0.000291061
5,13.5773,1.22698,2.73516,1.19431,0.00459,0.43455,0.01509,0.0092,1.70273,3.8941,1.59737,0.000362781,0.000362781,0.000362781
6,15.4038,1.16401,2.56274,1.12411,0.00269,0.28606,0.04942,0.0345,1.63376,3.83654,1.59152,0.000432962,0.000432962,0.000432962
7,17.3474,1.02594,2.28604,1.06554,0.00256,0.21717,0.02521,0.01147,1.6048,3.83527,1.63431,0.000501603,0.000501603,0.000501603
8,19.2068,1.04533,2.23416,1.05859,0.00534,0.58202,0.10538,0.0668,1.5786,3.66348,1.56106,0.000568704,0.000568704,0.000568704
9,21.1488,1.02133,2.17506,1.056,0.00647,0.68101,0.15035,0.08738,1.72333,3.54177,1.67293,0.000634265,0.000634265,0.000634265
10,23.031,1.04108,2.03319,1.09237,0.00504,0.58808,0.11454,0.07533,1.69403,3.66705,1.57707,0.000698287,0.000698287,0.000698287
11,24.8794,1.12517,2.1658,1.13612,0.00502,0.48505,0.12393,0.08921,1.54659,3.5853,1.53834,0.000760768,0.000760768,0.000760768
12,26.7524,1.07275,1.88252,1.1045,0.52805,0.1,0.20352,0.11363,1.67315,3.30021,1.65181,0.00082171,0.00082171,0.00082171
13,28.5463,1.12471,2.01668,1.11743,0.54936,0.13842,0.21981,0.11803,1.71487,3.13441,1.6338,0.000881112,0.000881112,0.000881112
14,30.4917,1.09561,1.94882,1.09084,0.24761,0.14527,0.184,0.10985,1.64655,2.8927,1.59831,0.000938974,0.000938974,0.000938974
15,32.4138,1.06464,1.75397,1.10146,0.43529,0.10297,0.18458,0.12428,1.69846,3.16532,1.56672,0.000957015,0.000957015,0.000957015
16,34.2448,1.05095,1.71938,1.11285,0.31283,0.17099,0.16842,0.10434,1.6833,3.11488,1.54727,0.000946016,0.000946016,0.000946016
17,36.0391,1.005,1.69255,1.05835,0.2694,0.19366,0.20386,0.13482,1.61618,2.91886,1.52454,0.000935018,0.000935018,0.000935018
18,37.8261,0.995,1.57634,1.07495,0.22685,0.18403,0.20656,0.13471,1.69617,2.79115,1.53009,0.000924019,0.000924019,0.000924019
19,39.6647,0.98608,1.57338,1.03825,0.49774,0.1463,0.24627,0.15284,1.72734,3.04465,1.52533,0.00091302,0.00091302,0.00091302
20,41.4944,1.0394,1.60331,1.06848,0.35489,0.21979,0.21659,0.13466,1.66362,2.90284,1.52009,0.000902021,0.000902021,0.000902021
21,43.2935,0.96223,1.54702,1.07181,0.25687,0.2402,0.19666,0.13498,1.69656,2.6186,1.54801,0.000891022,0.000891022,0.000891022
22,45.1203,1.03269,1.6025,1.07845,0.22821,0.22384,0.18065,0.13205,1.62651,2.60791,1.53932,0.000880023,0.000880023,0.000880023
23,46.9199,1.02031,1.5128,1.04543,0.28227,0.21919,0.19368,0.14402,1.67615,2.63884,1.59396,0.000869024,0.000869024,0.000869024
24,48.7251,0.95317,1.40513,1.04436,0.25887,0.20384,0.21458,0.1444,1.73872,2.69304,1.59163,0.000858025,0.000858025,0.000858025
25,50.5262,1.04835,1.48311,1.08671,0.27571,0.21813,0.22959,0.14539,1.73565,2.54022,1.54035,0.000847026,0.000847026,0.000847026
26,52.3444,1.03221,1.39316,1.04258,0.25936,0.17397,0.21512,0.14495,1.70474,2.5617,1.53421,0.000836027,0.000836027,0.000836027
27,54.2554,0.96715,1.42064,1.0743,0.23636,0.19455,0.19563,0.1399,1.64746,2.60751,1.5184,0.000825029,0.000825029,0.000825029
